precision_decimals,zstd_level,compressed_size_kb,compression_percent,write_time_milliseconds,read_time_milliseconds,RMSE
5,6,7164.5654296875,60.587585176492745,151,16,0.0
5,7,6813.9072265625,62.51656282328227,157,17,0.0
5,8,6812.2646484375,62.525598677735395,163,17,0.0
5,9,6811.4541015625,62.53005751197801,162,16,0.0
5,10,6811.4541015625,62.53005751197801,163,16,0.0
5,11,6812.1494140625,62.52623258429036,194,17,0.0
5,12,6811.0439453125,62.53231378954657,217,17,0.0
5,13,6793.8154296875,62.627088191604805,249,18,0.0
5,14,6482.1083984375,64.34179467863382,394,21,0.0
5,15,6482.1044921875,64.34181616699162,395,21,0.0
5,16,6472.9267578125,64.39230306363277,378,21,0.0
5,17,6472.9267578125,64.39230306363277,354,20,0.0
5,18,6457.9033203125,64.4749472877153,547,21,0.0
5,19,6455.3310546875,64.48909737132382,561,21,0.0
5,20,6455.3291015625,64.48910811550272,609,21,0.0
5,21,6455.3291015625,64.48910811550272,575,23,0.0
